date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:49:20	1010028/1010028	---MCZ	200	added ('OK')	text/css	etag:W/%22628f2ea8-f696c%22	https://builder.simplepage.vn/wp-content/cache/min/1/fdc30164af3ca04a6a873563c6813a91.css	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/css/fdc30164af3ca04a6a873563c6813a91.css	(from https://builder.simplepage.vn/mau-ldp-tpcn-05/)
03:49:20	541230/541230	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Dec%202021%2012:15:26%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2021/03/mau-landing-page-suc-khoe.png	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/png/mau-landing-page-suc-khoe.png	(from https://builder.simplepage.vn/mau-ldp-tpcn-05/)
03:49:20	26026/26026	---M--	200	added ('OK')	image/png	date:Mon,%2009%20May%202022%2004:06:36%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2021/01/logo-simple-page-1-08-1.png	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/png/logo-simple-page-1-08-1.png	(from https://builder.simplepage.vn/mau-ldp-tpcn-05/)
03:49:21	27366/27366	---M--	200	added ('OK')	image/png	date:Tue,%2005%20Apr%202022%2011:14:54%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2020/07/logo-simple-page-08.png	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/png/logo-simple-page-08.png	(from https://builder.simplepage.vn/mau-ldp-tpcn-05/)
03:49:21	74508/74508	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Mar%202022%2000:39:37%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2021/04/dietary-supplement-whey-protein-illustration-sesame-oil-bottles-affixed-vector-ed84af16646959a441be1cfde66db777.png	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/png/dietary-supplement-whey-protein-illustration-sesame-oil-bottles-affixed-vector-ed84af16646959a441be1cfde66db777.png	(from https://builder.simplepage.vn/mau-ldp-tpcn-05/)
03:49:21	406218/406218	---M--	200	added ('OK')	image/jpeg	date:Sun,%2031%20Jul%202022%2020:49:21%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2021/03/giay-chung-nhan.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/giay-chung-nhan.jpg	(from https://builder.simplepage.vn/mau-ldp-tpcn-05/)
03:49:21	655066/655066	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Jun%202022%2018:35:10%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2021/03/hinh-anh-san-pham-2-1.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/hinh-anh-san-pham-2-1.jpg	(from https://builder.simplepage.vn/mau-ldp-tpcn-05/)
03:49:22	211680/211680	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Jan%202022%2015:59:58%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2021/03/hinh-anh-san-pham-3.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/hinh-anh-san-pham-3.jpg	(from https://builder.simplepage.vn/mau-ldp-tpcn-05/)
03:49:22	108553/108553	---M--	200	added ('OK')	image/jpeg	date:Sun,%2031%20Jul%202022%2020:49:22%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2021/03/hinh-anh-san-pham-4-2.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/hinh-anh-san-pham-4-2.jpg	(from https://builder.simplepage.vn/mau-ldp-tpcn-05/)
03:49:22	89651/89651	---M--	200	added ('OK')	image/jpeg	date:Sun,%2031%20Jul%202022%2020:49:22%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2021/03/hinh-anh-san-pham-5-2.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/hinh-anh-san-pham-5-2.jpg	(from https://builder.simplepage.vn/mau-ldp-tpcn-05/)
03:49:22	285666/285666	---M--	200	added ('OK')	image/jpeg	date:Sat,%2015%20Jan%202022%2017:32:41%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2021/03/danh-gia-khach-hang-1.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/danh-gia-khach-hang-1.jpg	(from https://builder.simplepage.vn/mau-ldp-tpcn-05/)
03:49:23	288866/288866	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20Jun%202022%2003:49:55%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2021/03/danh-gia-khach-hang-2.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/danh-gia-khach-hang-2.jpg	(from https://builder.simplepage.vn/mau-ldp-tpcn-05/)
03:49:23	297407/297407	---M--	200	added ('OK')	image/jpeg	date:Sun,%2031%20Jul%202022%2020:49:23%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2021/03/danh-gia-khach-hang-3.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/danh-gia-khach-hang-3.jpg	(from https://builder.simplepage.vn/mau-ldp-tpcn-05/)
03:49:23	339283/339283	---M--	200	added ('OK')	image/jpeg	date:Fri,%2025%20Feb%202022%2011:47:39%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2021/03/danh-gia-khach-hang-4.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/danh-gia-khach-hang-4.jpg	(from https://builder.simplepage.vn/mau-ldp-tpcn-05/)
03:49:23	309748/309748	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20May%202022%2004:04:00%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2021/03/danh-gia-khach-hang-5.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/danh-gia-khach-hang-5.jpg	(from https://builder.simplepage.vn/mau-ldp-tpcn-05/)
03:49:24	285399/285399	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Jan%202022%2004:08:29%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2021/03/danh-gia-khach-hang-6.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/danh-gia-khach-hang-6.jpg	(from https://builder.simplepage.vn/mau-ldp-tpcn-05/)
03:49:24	26692/26692	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20May%202022%2004:07:43%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2021/03/z2367974433089_010fe14411b4e3b176476f551ae3300c.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/z2367974433089_010fe14411b4e3b176476f551ae3300c.jpg	(from https://builder.simplepage.vn/mau-ldp-tpcn-05/)
03:49:24	252305/252305	---M--	200	added ('OK')	image/jpeg	date:Sun,%2031%20Jul%202022%2020:49:24%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2021/03/z2367974453974_aaba39d6ca7a57d82dbeb9fa4afeb72b.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/z2367974453974_aaba39d6ca7a57d82dbeb9fa4afeb72b.jpg	(from https://builder.simplepage.vn/mau-ldp-tpcn-05/)
03:49:24	49960/49960	---M--	200	added ('OK')	image/jpeg	date:Sun,%2031%20Jul%202022%2020:49:24%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2021/03/z2367974463298_57708eda7477193063a289053e8acd37.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/z2367974463298_57708eda7477193063a289053e8acd37.jpg	(from https://builder.simplepage.vn/mau-ldp-tpcn-05/)
03:49:25	295400/295400	---M--	200	added ('OK')	image/jpeg	date:Thu,%2010%20Feb%202022%2023:14:33%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2021/03/z2367974466097_884cabe6db21f5346025475d6ed917de.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/z2367974466097_884cabe6db21f5346025475d6ed917de.jpg	(from https://builder.simplepage.vn/mau-ldp-tpcn-05/)
03:49:25	30222/30222	---M--	200	added ('OK')	image/jpeg	date:Sun,%2031%20Jul%202022%2020:49:25%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2021/03/z2367974473944_46f062493c8aba7e33a55271dcc67ce3.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/z2367974473944_46f062493c8aba7e33a55271dcc67ce3.jpg	(from https://builder.simplepage.vn/mau-ldp-tpcn-05/)
03:49:25	125504/125504	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Feb%202022%2004:32:17%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2021/03/z2367974476174_99623318f5083f0a506e8b43b126cc9b.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/z2367974476174_99623318f5083f0a506e8b43b126cc9b.jpg	(from https://builder.simplepage.vn/mau-ldp-tpcn-05/)
03:49:25	59745/59745	---M--	200	added ('OK')	image/jpeg	date:Wed,%2020%20Jul%202022%2023:28:18%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2021/03/doi-tac-5.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/doi-tac-5.jpg	(from https://builder.simplepage.vn/mau-ldp-tpcn-05/)
03:49:26	122153/122153	---M--	200	added ('OK')	image/jpeg	date:Sun,%2031%20Jul%202022%2020:49:25%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2021/03/doi-tac-11.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/doi-tac-11.jpg	(from https://builder.simplepage.vn/mau-ldp-tpcn-05/)
03:49:26	26026/26026	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Jul%202022%2004:17:25%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2020/10/logo-simple-page-1-08.png	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/png/logo-simple-page-1-08.png	(from https://builder.simplepage.vn/mau-ldp-tpcn-05/)
03:49:27	1182874/1182874	---MCZ	200	added ('OK')	text/css	etag:W/%2262932014-120c9a%22	https://builder.simplepage.vn/wp-content/cache/min/1/187a23feffbf1156c783518bbf597c7d.css	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/css/187a23feffbf1156c783518bbf597c7d.css	(from https://builder.simplepage.vn/kem-tri-nam-happy/)
03:49:27	895664/895664	---MCZ	200	added ('OK')	application/javascript	etag:W/%22628f2ea9-daab0%22	https://builder.simplepage.vn/wp-content/cache/min/1/6b15d383e50d20b1d6c8185b77dee136.js	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/js/6b15d383e50d20b1d6c8185b77dee136.js	(from https://builder.simplepage.vn/mau-ldp-tpcn-05/)
03:49:29	14384/14384	---M--	200	added ('OK')	image/png	date:Sun,%2031%20Jul%202022%2020:49:28%20GMT	https://simpleweb1.cdn.vccloud.vn/wp-content/uploads/2021/07/4e8af7489952b521db9abdf071035155_cover-1.png	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/png/4e8af7489952b521db9abdf071035155_cover-1.png	(from https://builder.simplepage.vn/kem-tri-nam-happy/)
03:49:29	32934/32934	---M--	200	added ('OK')	image/png	etag:W/%22PSA-hwyssZj3uk%22	https://simpleweb1.cdn.vccloud.vn/wp-content/uploads/2021/06/logohappy.png	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/png/logohappy.png	(from https://builder.simplepage.vn/kem-tri-nam-happy/)
03:49:30	402924/402924	---M--	200	added ('OK')	image/png	etag:W/%22PSA-AuZT4RW-Sp%22	https://simpleweb1.cdn.vccloud.vn/wp-content/uploads/2021/09/nguoi-mau.png	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/png/nguoi-mau.png	(from https://builder.simplepage.vn/kem-tri-nam-happy/)
03:49:31	685/685	---M--	200	added ('OK')	image/png	date:Wed,%2011%20May%202022%2009:03:50%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2021/04/phoneicon.png	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/png/phoneicon.png	(from https://builder.simplepage.vn/kem-tri-nam-happy/)
03:49:31	2033605/2033605	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Jan%202022%2013:38:53%20GMT	https://simpleweb1.cdn.vccloud.vn/wp-content/uploads/2021/06/NHE_1482-removebg.png	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/png/nhe_1482-removebg.png	(from https://builder.simplepage.vn/kem-tri-nam-happy/)
03:49:31	604506/604506	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Feb%202022%2003:08:08%20GMT	https://simpleweb1.cdn.vccloud.vn/wp-content/uploads/2021/06/agdfg.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/agdfg.jpg	(from https://builder.simplepage.vn/kem-tri-nam-happy/)
03:49:31	1085289/1085289	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Jul%202022%2020:21:49%20GMT	https://simpleweb1.cdn.vccloud.vn/wp-content/uploads/2021/06/gum-trees-euclidean-vector-leaf-flower-watercolor-green-leaves-a8d9ea566c25c47ad83b943769853969.png	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/png/gum-trees-euclidean-vector-leaf-flower-watercolor-green-leaves-a8d9ea566c25c47ad83b943769853969.png	(from https://builder.simplepage.vn/kem-tri-nam-happy/)
03:49:31	53611/53611	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202022%2002:55:35%20GMT	https://simpleweb1.cdn.vccloud.vn/wp-content/uploads/2021/06/unnamed-1-9.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/unnamed-1-9.jpg	(from https://builder.simplepage.vn/kem-tri-nam-happy/)
03:49:32	21522/21522	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Jul%202022%2006:51:47%20GMT	https://simpleweb1.cdn.vccloud.vn/wp-content/uploads/2021/06/16-12.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/16-12.jpg	(from https://builder.simplepage.vn/kem-tri-nam-happy/)
03:49:32	20524/20524	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Feb%202022%2000:53:06%20GMT	https://simpleweb1.cdn.vccloud.vn/wp-content/uploads/2021/06/unnamed-2-6.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/unnamed-2-6.jpg	(from https://builder.simplepage.vn/kem-tri-nam-happy/)
03:49:32	63120/63120	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Mar%202022%2006:58:22%20GMT	https://simpleweb1.cdn.vccloud.vn/wp-content/uploads/2021/06/kiem-tra-do-am-da-nhu-the-nao.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/kiem-tra-do-am-da-nhu-the-nao.jpg	(from https://builder.simplepage.vn/kem-tri-nam-happy/)
03:49:34	44946/44946	---M--	200	added ('OK')	image/jpeg	date:Sun,%2031%20Jul%202022%2020:49:33%20GMT	https://simpleweb1.cdn.vccloud.vn/wp-content/uploads/2021/06/s%e1%ba%afc-t%e1%bb%91-melanin-1.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/s%e1%ba%afc-t%e1%bb%91-melanin-1.jpg	(from https://builder.simplepage.vn/kem-tri-nam-happy/)
03:49:34	15570/15570	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Jul%202022%2007:10:50%20GMT	https://simpleweb1.cdn.vccloud.vn/wp-content/uploads/2021/06/bi-quyet-so-huu-lan-da-trang-min.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/bi-quyet-so-huu-lan-da-trang-min.jpg	(from https://builder.simplepage.vn/kem-tri-nam-happy/)
03:49:34	36344/36344	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Jul%202022%2008:35:13%20GMT	https://simpleweb1.cdn.vccloud.vn/wp-content/uploads/2021/06/1_1.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/1_1.jpg	(from https://builder.simplepage.vn/kem-tri-nam-happy/)
03:49:34	495099/495099	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Feb%202022%2000:52:47%20GMT	https://simpleweb1.cdn.vccloud.vn/wp-content/uploads/2021/06/NHE_1664-2.jpeg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/nhe_1664-2.jpg	(from https://builder.simplepage.vn/kem-tri-nam-happy/)
03:49:34	73051/73051	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Feb%202022%2000:52:47%20GMT	https://simpleweb1.cdn.vccloud.vn/wp-content/uploads/2021/06/Mat-Ong2.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/mat-ong2.jpg	(from https://builder.simplepage.vn/kem-tri-nam-happy/)
03:49:38	256227/256227	---M--	200	added ('OK')	image/png	date:Sun,%2031%20Jul%202022%2020:49:37%20GMT	https://simpleweb1.cdn.vccloud.vn/wp-content/uploads/2021/06/th%c3%b4ng-%c4%91%e1%bb%8f.png	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/png/th%c3%b4ng-%c4%91%e1%bb%8f.png	(from https://builder.simplepage.vn/kem-tri-nam-happy/)
03:49:38	115207/115207	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Feb%202022%2000:52:47%20GMT	https://simpleweb1.cdn.vccloud.vn/wp-content/uploads/2021/06/nhan-sam-tuoi-han-quoc-6-nam-tuoi-loai-3-cu-1kg.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/nhan-sam-tuoi-han-quoc-6-nam-tuoi-loai-3-cu-1kg.jpg	(from https://builder.simplepage.vn/kem-tri-nam-happy/)
03:49:38	560524/560524	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Feb%202022%2000:52:47%20GMT	https://simpleweb1.cdn.vccloud.vn/wp-content/uploads/2021/06/NHE_1635-1.jpeg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/nhe_1635-1.jpg	(from https://builder.simplepage.vn/kem-tri-nam-happy/)
03:49:38	298324/298324	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Jan%202022%2001:39:39%20GMT	https://simpleweb1.cdn.vccloud.vn/wp-content/uploads/2021/06/z2567435744072_d7103848a480d7caa54f72e324c73d13-1.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/z2567435744072_d7103848a480d7caa54f72e324c73d13-1.jpg	(from https://builder.simplepage.vn/kem-tri-nam-happy/)
03:49:38	188421/188421	---M--	200	added ('OK')	image/jpeg	date:Sun,%2031%20Jul%202022%2003:52:05%20GMT	https://simpleweb1.cdn.vccloud.vn/wp-content/uploads/2021/06/z2567435985945_87d78afbecefa2fa1b3ec7d0154e9a5e-1.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/z2567435985945_87d78afbecefa2fa1b3ec7d0154e9a5e-1.jpg	(from https://builder.simplepage.vn/kem-tri-nam-happy/)
03:49:39	299875/299875	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Feb%202022%2000:52:47%20GMT	https://simpleweb1.cdn.vccloud.vn/wp-content/uploads/2021/06/z2567436007713_f1dc1e0344b7f9b6f23c757a5c14c912-1.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/z2567436007713_f1dc1e0344b7f9b6f23c757a5c14c912-1.jpg	(from https://builder.simplepage.vn/kem-tri-nam-happy/)
03:49:39	50480/50480	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Feb%202022%2000:52:47%20GMT	https://simpleweb1.cdn.vccloud.vn/wp-content/uploads/2021/06/z2569410266101_b2bb9819044d9d7a46cc978a838a5581-1.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/z2569410266101_b2bb9819044d9d7a46cc978a838a5581-1.jpg	(from https://builder.simplepage.vn/kem-tri-nam-happy/)
03:49:39	581504/581504	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Feb%202022%2000:52:47%20GMT	https://simpleweb1.cdn.vccloud.vn/wp-content/uploads/2021/06/123213-1.png	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/png/123213-1.png	(from https://builder.simplepage.vn/kem-tri-nam-happy/)
03:49:39	121223/121223	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Jun%202022%2010:23:49%20GMT	https://simpleweb1.cdn.vccloud.vn/wp-content/uploads/2021/06/154953921_2588395264801092_8702562433410268764_n-1.jpg	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/jpg/154953921_2588395264801092_8702562433410268764_n-1.jpg	(from https://builder.simplepage.vn/kem-tri-nam-happy/)
